gap_id,timestamp_before,timestamp_after,duration_minutes,estimated_missing_m15_timestamps,is_grid_aligned_interval,crosses_utc_date,weekday_before,weekday_after,preliminary_category,classification_reason
1310,2023-07-06T17:45:00Z,2023-07-06T19:00:00Z,75.0,4,True,False,Thursday,Thursday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1311,2023-07-06T19:45:00Z,2023-07-06T21:00:00Z,75.0,4,True,False,Thursday,Thursday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1312,2023-07-06T21:45:00Z,2023-07-06T23:00:00Z,75.0,4,True,False,Thursday,Thursday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1313,2023-07-07T09:45:00Z,2023-07-07T11:00:00Z,75.0,4,True,False,Friday,Friday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1314,2023-07-07T12:45:00Z,2023-07-07T14:00:00Z,75.0,4,True,False,Friday,Friday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1315,2023-07-07T15:45:00Z,2023-07-07T17:00:00Z,75.0,4,True,False,Friday,Friday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1316,2023-07-07T17:45:00Z,2023-07-09T21:00:00Z,3075.0,204,True,True,Friday,Sunday,likely_weekly_closure,duration >= 1440 configured minutes; Friday/Saturday before and Sunday/Monday after
1317,2023-07-09T21:45:00Z,2023-07-09T23:00:00Z,75.0,4,True,False,Sunday,Sunday,unclassified,interval does not satisfy the configured descriptive category rules
1318,2023-07-10T10:45:00Z,2023-07-10T12:00:00Z,75.0,4,True,False,Monday,Monday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1319,2023-07-10T12:45:00Z,2023-07-10T14:00:00Z,75.0,4,True,False,Monday,Monday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1320,2023-07-10T14:45:00Z,2023-07-10T16:00:00Z,75.0,4,True,False,Monday,Monday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1321,2023-07-10T16:45:00Z,2023-07-10T18:00:00Z,75.0,4,True,False,Monday,Monday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1322,2023-07-10T18:45:00Z,2023-07-10T20:00:00Z,75.0,4,True,False,Monday,Monday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1323,2023-07-10T20:45:00Z,2023-07-10T22:00:00Z,75.0,4,True,False,Monday,Monday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1324,2023-07-10T22:45:00Z,2023-07-11T00:00:00Z,75.0,4,True,True,Monday,Tuesday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval crosses a UTC date
